Postcode,A,B,C,D,E,F,G,H,I,J,K,L,M,N,A01,A02,A03,A04,B05,B06,B07,C08,C09,C10,D11,D12,D13,E14,E15,E16,F17,F18,F19,G20,G21,G22,G23,H24,H25,H26,H27,I28,I29,I30,J31,J32,J33,J34,K35,K36,K37,L38,L39,L40,L41,L42,M43,M44,M45,M46,M47,N48,N49,N50,N51
4014,31,1017,,235,180,119,,182,1952,2,1182,1,256,5,,31,,,54,825,138,,,,232,3,,37,139,4,32,17,70,,,,,181,,,1,1130,822,,,,2,,2,904,276,,1,,,,,134,122,,,5,,,
4017,14,2428,,784,703,540,27,307,6876,77,1780,389,1168,,,13,1,,14,1163,1251,,,,725,,59,87,543,73,238,48,254,,,27,,269,35,,3,3330,3546,,,,77,,21,1407,352,,44,341,4,,,364,555,249,,,,,
4018,,354,,39,67,1603,81,230,964,17,1833,26,1025,,,,,,81,13,260,,,,39,,,3,58,6,1,889,713,,,81,,194,4,31,1,591,373,,,,17,,7,562,1264,,,26,,,,87,266,669,3,,,,
4019,6,67,,283,140,4,1025,496,3178,450,1200,1103,1710,,,,6,,,10,57,,,,56,1,226,,139,1,4,,,,,1025,,339,24,,133,2067,999,112,,,450,,77,320,803,78,1,999,1,24,,678,986,32,14,,,,
4020,26,159,,1109,915,46,2676,528,1720,303,2489,1307,1873,,2,16,7,1,,50,109,,,,630,6,473,217,658,40,43,,3,,,2676,,357,88,,83,973,668,79,,,303,,19,1967,503,30,,1195,,82,,519,970,366,18,,,,
4021,,65,,38,16,,4,324,1515,559,252,387,790,,,,,,,1,64,,,,2,,36,,16,,,,,,,4,,64,174,,86,773,571,171,,,559,,,73,179,266,7,105,,9,,338,306,110,36,,,,
4022,,41,,66,26,16,,797,846,134,266,104,674,,,,,,,,41,,,,6,,60,1,24,1,,16,,,,,,105,655,,37,221,431,194,,,134,,,161,105,40,24,39,,1,,112,99,459,4,,,,
4025,,,,35,,,15,,,,,,,103,,,,,,,,,,,,,35,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,2,,101,
4030,1339,226,,13,44,2029,3670,2,,,1829,,,,28,1275,36,,,226,,,,,13,,,,44,,875,,1154,3670,,,,2,,,,,,,,,,,1828,,1,,,,,,,,,,,,,,
4031,645,1216,,222,178,2239,786,1,76,,936,,23,,,645,,,2,1214,,,,,222,,,11,167,,443,,1796,786,,,,1,,,,31,45,,,,,,874,36,26,,,,,,,,23,,,,,,
4032,7,631,,516,258,1513,3130,102,1111,,1354,16,727,,,4,3,,5,625,1,,,,516,,,87,171,,16,,1497,1948,,1182,,102,,,,569,542,,,,,,289,594,471,,,16,,,,91,157,479,,,,,
4034,36,1653,,1614,968,805,43,1444,5281,73,5049,159,2263,2,1,35,,,345,1050,258,,,,1611,2,1,160,799,9,20,57,728,22,,21,,556,17,871,,3033,2248,,,4,69,,44,2850,2155,,38,121,,,,481,918,864,,2,,,
4035,180,1294,,620,3788,118,,133,1858,26,1927,,712,,45,135,,,108,314,872,,,,620,,,2666,1061,61,31,,87,,,,,133,,,,640,1218,,,17,9,,67,1489,371,,,,,,,71,101,540,,,,,
4036,1,317,,,32,50,,112,1517,172,319,9,180,1,,1,,,15,10,292,,,,,,,1,24,7,,46,4,,,,,29,83,,,840,676,1,,,172,,,177,142,,9,,,,,130,50,,,1,,,
4037,,1163,,11,949,,,,444,,8,,,,,,,,140,6,1017,,,,11,,,425,195,329,,,,,,,,,,,,109,335,,,,,,,8,,,,,,,,,,,,,,,
4051,3005,1677,,353,221,3765,2267,19,31,,1234,,118,,57,2916,32,,46,1631,,,,,353,,,,221,,1642,,2123,2259,,8,,19,,,,17,14,,,,,,1170,3,61,,,,,,,1,42,75,,,,,
4053,73,4669,,2594,1158,3663,886,336,2767,1,3542,101,626,,,71,2,,2,4613,54,,,,2594,,,398,752,8,556,3,3104,814,,72,,336,,,,1296,1471,,,,1,,577,1922,1043,,23,46,32,,,104,474,48,,,,,
4054,2,750,,313,354,243,,58,2528,,905,,625,,,2,,,4,526,220,,,,313,,,259,92,3,9,,234,,,,,58,,,,1491,1037,,,,,,1,664,240,,,,,,,187,179,259,,,,,
4055,25,1448,,354,2037,85,,47,2369,,1432,,350,,,25,,,113,415,920,,,,354,,,1392,477,168,3,,82,,,,,47,,,,1000,1369,,,,,,,1332,100,,,,,,,108,90,152,,,,,
4059,465,12,,2,9,1175,2730,1,,,1948,,,,2,381,82,,,12,,,,,2,,,,9,,690,,485,1173,,,1557,1,,,,,,,,,,,1948,,,,,,,,,,,,,,,,
4060,3133,369,,55,89,614,761,2,1,,158,,3,,41,3092,,,,369,,,,,55,,,,89,,514,,100,761,,,,2,,,,1,,,,,,,156,,2,,,,,,,,3,,,,,,
4061,707,2399,,1770,526,485,,27,210,,133,,74,,12,695,,,5,2394,,,,,1770,,,86,433,7,345,,140,,,,,27,,,,23,187,,,,,,3,115,15,,,,,,,,74,,,,,,
4064,1344,5,1261,,2,1185,513,3,,,1581,,1,,62,948,334,,,5,,59,18,1184,,,,,2,,608,,577,513,,,,3,,,,,,,,,,,1580,,1,,,,,,,1,,,,,,,
4065,2867,89,,1,12,821,,,1,,25,,34,,75,2778,14,,,89,,,,,1,,,,12,,672,,149,,,,,,,,,1,,,,,,,25,,,,,,,,,,,34,,,,,
4066,1547,72,1034,27,19,1001,4562,3,,,961,,,,41,1371,135,,,72,,22,,1012,26,,1,,19,,659,,342,4118,,,444,3,,,,,,,,,,,959,1,1,,,,,,,,,,,,,,
4067,1004,1,60,,6,159,3320,1,,,519,,,,20,898,86,,,1,,,,60,,,,,6,,85,,74,1155,,,2165,1,,,,,,,,,,,519,,,,,,,,,,,,,,,,
4068,2880,389,23,146,78,1442,4785,3,9,,1387,,143,,474,2230,172,4,,389,,3,,20,146,,,,78,,866,,576,4616,,,169,3,,,,,9,,,,,,1384,3,,,,,,,,1,2,139,1,,,,
4069,6060,1985,,1648,1379,987,,5,61,,92,,160,2,395,5618,34,13,,1985,,,,,1644,4,,300,924,155,934,,53,,,,,5,,,,19,42,,,,,,15,56,21,,,,,,,3,35,122,,2,,,
4070,147,1268,,168,1121,,,29,1167,3,224,,116,,,147,,,195,159,914,,,,113,,55,499,379,243,,,,,,,,23,,,6,296,869,2,,,3,,,215,9,,,,,,,24,27,65,,,,,
4073,267,787,,279,1000,181,128,35,370,,239,,23,,3,262,,2,23,758,6,,,,278,1,,754,246,,97,,84,128,,,,35,,,,131,239,,,,,,,212,27,,,,,,,2,21,,,,,,
4074,191,1322,,1031,1871,405,,69,2492,2,1225,1,324,,5,184,,2,2,1049,271,,,,1031,,,904,965,2,157,180,68,,,,,68,1,,,1181,1311,,,,2,,,1127,98,,,1,,,,84,168,72,,,,,
4075,2252,2060,,446,215,2155,522,204,1234,16,1066,,154,,129,2113,3,7,7,1918,135,,,,445,,1,3,209,3,582,46,1527,488,,34,,204,,,,617,617,,,16,,,393,522,151,,,,,,,69,84,1,,,,,
4076,,17,,5,26,14,,275,637,310,369,242,139,7,,,,,,10,7,,,,4,,1,1,15,10,,8,6,,,,,185,61,,29,428,209,,,,310,,4,153,212,2,240,,,,23,54,61,,1,7,,,
4077,,693,,13,87,1375,8,1370,1209,498,2195,4893,503,,,,,,23,4,666,,,,13,,,2,51,34,3,609,763,8,,,,673,577,110,10,549,660,,,23,475,,109,522,1564,,4552,206,6,129,29,41,174,254,5,,,,
4078,,2279,,12,619,117,5,1191,3061,582,846,561,316,1,,,,,58,7,2214,,,,6,6,,299,237,83,7,65,45,5,,,,85,1002,81,23,1534,1527,,,,582,,8,456,382,,243,17,,301,,99,160,57,,1,,,
4101,395,27,12224,,,574,3336,1,,,3163,7,48,,6,66,323,,,27,,680,1,11543,,,,,,,147,,427,3334,,,2,1,,,,,,,,,,,3162,,1,,,,7,,,,,48,,,,,
4102,68,11,1274,,,181,3522,,,,1617,2,2,,2,22,44,,,11,,,,1274,,,,,,,42,,139,2576,,,946,,,,,,,,,,,,1614,,3,,,,2,,,1,1,,,,,,
4103,234,125,1,37,49,1969,2139,,,,2297,,,,8,207,19,,,125,,,1,,37,,,,49,,605,,1364,2139,,,,,,,,,,,,,,,2297,,,,,,,,,,,,,,,,
4104,720,81,,74,17,801,1184,4,,,286,25,289,,65,625,30,,,81,,,,,74,,,,17,,379,,422,1184,,,,4,,,,,,,,,,,286,,,,,,25,,,,,289,,,,,
4105,314,971,,465,78,2783,414,7,230,,1011,,49,,16,286,12,,,971,,,,,465,,,,78,,698,,2085,384,,30,,7,,,,147,83,,,,,,794,125,92,,,,,,,14,35,,,,,,
4106,,3,,5,4,27,5,39,167,,410,8,47,,,,,,,2,1,,,,5,,,,4,,1,,26,5,,,,38,,,1,136,31,,,,,,,29,381,,1,7,,,,18,28,,1,,,,
4107,4,584,,152,69,155,,101,800,,576,,132,,,4,,,2,579,3,,,,152,,,,69,,19,3,133,,,,,59,,42,,508,292,,,,,,17,389,170,,,,,,,76,56,,,,,,
4108,,106,,78,85,258,46,226,416,107,1039,12,168,,,,,,17,68,21,,,,78,,,1,84,,3,10,245,46,,,,218,,5,3,276,140,,,15,92,,81,376,582,,12,,,,7,73,88,,,,,,
4109,65,719,,1361,2742,436,16,875,1926,463,3764,116,1062,,12,33,20,,105,449,165,,,,1251,110,,535,2203,4,42,24,370,15,,,1,662,29,183,1,1026,900,,,429,34,,529,2321,914,,106,10,,,413,95,197,357,,,,,
4110,1,661,,10,1204,106,,551,612,488,2460,1009,292,14,,,1,,247,12,402,,,,7,3,,,149,1055,,33,73,,,,,295,221,23,12,371,241,,,,488,,20,2083,357,,954,2,,53,40,68,174,9,1,14,,,
4111,2,14,,26,4,110,,24,26,,122,,40,,,2,,,,14,,,,,26,,,,4,,14,,96,,,,,24,,,,15,11,,,,,,53,28,41,,,,,,,28,12,,,,,,
4112,,797,,65,820,87,,143,330,138,256,83,10,,,,,,351,42,404,,,,65,,,372,442,6,,87,,,,,,101,41,,1,105,225,,,125,13,,,136,120,,83,,,,1,4,5,,,,,,
4113,34,801,,502,1840,961,273,1184,2024,434,2382,8,329,,,,34,,236,342,223,,,,494,8,,712,1123,5,1,126,834,170,,103,,631,65,488,,1153,871,,,401,33,,50,1165,1167,,8,,,,32,83,107,107,,,,,
4114,,9,,6,10,4,,1316,66,625,508,8500,145,3,,,,,,,9,,,,5,,1,,4,6,,4,,,,,,216,944,20,136,25,40,1,,,625,,44,11,453,43,6086,2296,,75,9,10,87,3,36,3,,,
4115,,2524,,35,746,381,,233,1694,68,1055,2,427,,,,,,293,10,2221,,,,34,1,,405,329,12,,284,97,,,,,205,5,,23,731,963,,,25,43,,5,703,347,,,2,,,1,86,65,275,,,,,
4116,24,2323,,205,2191,1405,68,446,734,373,1542,6,153,,13,7,,4,813,116,1394,,,,186,18,1,688,1464,39,,859,546,68,,,,303,35,102,6,289,445,,,321,52,,5,1038,499,,2,4,,,1,11,41,100,,,,,
4117,,48,,,58,16,,650,35,9,88,18,6,41,,,,,,,48,,,,,,,,6,52,,16,,,,,,26,622,,2,13,21,1,,,9,,,84,4,,13,5,,,,1,5,,,41,,,
4118,,1332,,3,921,38,,5194,1188,1714,558,402,39,,,,,,,,1332,,,,3,,,13,198,710,,38,,,,,,161,4969,,64,270,912,6,,5,1709,,,186,372,1,341,60,,,,20,19,,,,,,
4119,,906,,9,325,69,,132,566,37,372,35,49,,,,,,375,3,528,,,,9,,,116,208,1,,55,14,,,,,74,52,,6,287,279,,,,37,,,234,138,,,35,,,,17,31,1,,,,,
4120,212,29,,9,16,1246,2508,,,,1332,,,,1,207,4,,,29,,,,,9,,,,16,,352,,894,2508,,,,,,,,,,,,,,,1316,,16,,,,,,,,,,,,,,
4121,1350,4114,,1321,446,2131,222,16,93,,533,,30,,13,1296,41,,,4114,,,,,1321,,,3,443,,1180,,951,222,,,,16,,,,44,49,,,,,,375,44,114,,,,,,,2,28,,,,,,
4122,123,3616,,2103,1681,3056,1135,491,3051,29,2867,86,609,,,69,54,,26,3571,19,,,,2102,1,,706,967,8,172,6,2878,820,,14,301,437,,54,,1166,1885,,,27,2,,821,1240,806,,65,3,18,,9,68,299,233,,,,,
4123,84,1027,,140,1833,101,,214,3394,38,1626,101,406,,2,79,2,1,183,42,802,,,,88,,52,625,1045,163,30,,71,,,,,164,31,,19,1538,1856,,,1,37,,114,1235,277,,2,99,,,,132,118,150,6,,,,
4124,,1327,,,2284,535,,2338,570,515,574,64,153,366,,,,,,,1327,,,,,,,,184,2100,,535,,,,,,128,2159,,51,445,98,27,,,515,,,526,48,11,,53,,,,19,15,118,1,366,,,
4125,1,78,,17,1423,95,,543,61,1696,1091,274,567,322,,,1,,,,78,,,,1,,16,,78,1345,,95,,,,,,499,2,,42,24,36,1,,,1696,,,969,122,,2,272,,,,23,43,501,,322,,,
4127,,929,,64,630,200,,982,2725,669,1178,2560,766,8,,,,,11,11,907,,,,62,,2,174,347,109,,2,198,,,,,180,704,,98,1106,1603,16,,,669,,,623,555,11,1592,957,,,,177,219,360,10,8,,,
4128,,1549,,30,631,21,67,586,1760,153,964,139,102,,,,,,,,1549,,,,30,,,95,331,205,,20,1,,,67,,114,367,,105,424,1329,7,,,153,,,807,157,2,,137,,,,32,62,,8,,,,
4129,,411,,3,92,2,,1108,561,236,180,11,26,,,,,,,1,410,,,,3,,,,30,62,,2,,,,,,122,972,,14,172,369,20,,,236,,,150,30,,,11,,,,13,13,,,,,,
4130,,718,,25,1230,1,,62,588,91,313,5,71,12,,,,,,2,716,,,,24,,1,144,349,737,,1,,,,,,16,28,,18,180,406,2,,,91,,,242,71,,,5,,,,28,27,16,,12,,,
4131,,205,,,47,13,,2062,376,445,183,993,46,8,,,,,,,205,,,,,,,,11,36,,13,,,,,,435,1493,26,108,107,261,8,,,441,4,,40,143,3,680,301,,9,3,11,23,,9,8,,,
4132,,1,,,2,1,,7290,129,628,76,610,28,4,,,,,,,1,,,,,,,,2,,,1,,,,,,258,6990,1,41,31,91,7,,,628,,,6,70,,300,256,,54,1,3,19,3,2,4,,,
4133,,102,,34,1072,1936,,3400,188,935,517,782,971,363,,,,,,,102,,,,,,34,,42,1030,,1936,,,,,,767,2456,6,171,62,108,18,,,935,,,156,361,34,289,454,,5,,31,70,867,3,363,,,
4151,1683,426,396,53,61,1084,3854,1,,,949,,218,,57,1611,15,,,426,,,,396,53,,,,61,,639,,445,3853,,1,,1,,,,,,,,,,,948,,1,,,,,,,,,218,,,,,
4152,2341,3206,,2292,2837,5395,131,110,498,1,1605,8,926,,12,2324,5,,33,3164,9,,,,2291,,1,1159,1677,1,1565,,3830,80,,51,,110,,,,263,235,,,,1,,675,420,510,,1,7,,,,36,221,669,,,,,
4153,190,410,,142,409,45,,16,224,,172,,16,,28,144,13,5,29,357,24,,,,142,,,234,140,35,3,13,29,,,,,16,,,,85,139,,,,,,,113,59,,,,,,,,16,,,,,,
4154,310,1993,,3,838,116,,63,167,,239,,27,,35,264,,11,1328,209,456,,,,3,,,397,334,107,27,87,2,,,,,63,,,,34,133,,,,,,,183,56,,,,,,,,27,,,,,,
4155,336,3,,1,199,,,,1,,1,,,,80,251,,5,,3,,,,,1,,,,77,122,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
4156,97,60,,1,896,47,,17,3,,17,,,,6,91,,,14,43,3,,,,1,,,481,209,206,,,47,,,,,17,,,,,3,,,,,,,17,,,,,,,,,,,,,,,
4157,,799,,39,1383,151,,246,2678,341,1001,618,453,5,,,,,1,7,791,,,,38,,1,5,292,1086,23,123,5,,,,,179,53,,14,1342,1336,,,,341,,9,480,512,5,5,608,,,,215,216,15,7,5,,,
4158,3,183,,128,110,106,,102,449,18,426,84,164,,,3,,,,169,14,,,,63,,65,18,91,1,6,,100,,,,,80,,,22,244,204,1,,,18,,1,164,261,1,,83,,,,39,112,13,,,,,
4159,45,984,,264,719,8,,109,2292,23,618,52,754,,4,40,1,,,94,890,,,,240,,24,234,427,58,5,,3,,,,,96,8,,5,724,1567,1,,,23,,8,452,158,,,52,,,,98,259,397,,,,,
4160,102,1100,,583,1734,108,12,158,2120,6,1195,32,631,,16,81,5,,1,265,834,,,,556,,27,708,978,48,79,17,12,,,12,,146,,,12,699,1414,7,,,6,,4,986,205,2,,30,,,,116,294,221,,,,,
4161,,592,,20,249,17,,232,4004,379,397,33,379,4,,,,,,34,558,,,,20,,,39,93,117,,,17,,,,,65,146,,21,1977,2026,1,,,379,,,264,133,,10,23,,,,157,96,126,,4,,,
4163,622,201,,436,554,43,1046,194,1284,13,1189,810,1318,4,181,416,18,7,,39,162,,,,329,,107,66,476,12,43,,,,,1046,,179,,,15,500,780,4,,,13,,25,788,376,2,,808,,,,329,648,337,4,4,,,
4164,2,1530,,72,1628,9,,169,1805,9,1198,4,244,1,,2,,,2,16,1512,,,,71,,1,310,768,550,,9,,,,,,157,9,,3,573,1232,,,,9,,,1170,28,4,,,,,,32,25,187,,1,,,
4165,15,4198,,790,2298,58,93,258,4723,100,1463,47,1768,55,,14,1,,35,33,4130,,,,347,,443,55,909,1334,3,54,1,,,93,,201,29,,28,1633,2708,382,,,100,,,1123,340,19,,28,,,,613,324,830,1,55,,,
4169,455,10,3967,,5,285,3139,,1,,1738,,,,9,146,300,,,10,,154,9,3804,,,,,5,,134,,151,3139,,,,,,,,,1,,,,,,1738,,,,,,,,,,,,,,,,
4170,2020,1802,6,300,283,3937,1699,46,20,,1710,5,11,,68,1896,56,,,1802,,6,,,300,,,1,282,,1346,,2591,1695,,4,,46,,,,10,10,,,,,,1677,10,23,,,5,,,,3,8,,,,,,
4171,3111,145,632,14,31,2303,301,,,,966,,1,,476,2297,338,,,145,,608,24,,14,,,,31,,961,,1342,301,,,,,,,,,,,,,,,966,,,,,,,,,,1,,,,,,
4172,51,412,,37,155,628,3,27,429,,260,,35,3,,51,,,35,377,,,,,36,,1,77,78,,164,,464,3,,,,27,,,,287,142,,,,,,39,115,106,,,,,,,20,15,,,3,,,
4173,14,340,,145,82,132,,196,1198,2,989,1,411,,,14,,,,213,127,,,,126,,19,9,72,1,8,5,119,,,,,196,,,,699,499,,,,2,,5,663,321,,,1,,,,115,139,157,,,,,
4174,,74,,10,76,52,,62,485,24,351,21,33,,,,,,1,25,48,,,,7,,3,,29,47,,49,3,,,,,51,1,,10,319,166,,,,24,,,263,88,8,,13,,,,13,19,,1,,,,
4178,40,1258,,625,615,414,341,359,4112,71,1909,572,1243,2,2,37,,1,4,1058,196,,,,617,1,7,78,527,10,201,28,185,,,341,,357,1,,1,2256,1856,,,,71,,133,962,814,,5,512,54,1,,319,635,288,1,2,,,
4179,239,1481,,676,708,390,29,216,2439,,1062,4,690,,3,202,34,,38,1408,35,,,,674,1,1,185,516,7,241,,149,,,29,,216,,,,1072,1367,,,,,,106,673,283,,,4,,,,80,258,352,,,,,
4183,3,1,,1442,4,1,98,55,80,3,4,194,28,75,,1,2,,,,1,,,,1,,1441,,3,1,1,,,,,98,,26,,,29,8,3,69,,,3,,,4,,165,,29,,,,1,25,,2,25,,50,
4184,,,,3129,,,,73,3,186,,2083,357,412,,,,,,,,,,,,,3129,,,,,,,,,,,3,,,70,1,,2,,,8,178,,,,158,,1925,,,,,13,,344,4,,408,
4205,,15,,19,15,,,851,175,582,73,230,795,6,,,,,,,15,,,,,,19,,5,10,,,,,,,,127,536,,188,66,98,11,,,582,,,30,43,76,31,123,,,,20,42,718,15,6,,,
4207,1,1344,,418,3399,4316,,6488,1726,3356,1247,3146,1516,755,,,1,,,,1344,,,,6,,412,16,240,3143,,4316,,,,,,446,5353,,689,500,1045,181,,,3354,2,12,1030,205,621,106,2230,20,169,,134,176,1109,97,747,,8,
4208,4,3382,,425,1127,1056,,780,337,134,581,27,440,142,,4,,,,1,3381,,,,12,,413,,369,758,,1056,,,,,,64,648,,68,111,139,87,,,134,,,573,8,1,,26,,,,49,56,335,,142,,,
4209,2,5393,,8,1590,8565,,6348,627,360,2798,32,860,12,,2,,,292,24,5077,,,,5,,3,91,624,875,,8565,,,,,,536,5699,,113,217,367,43,,,360,,,993,1805,1,,31,,,,21,149,687,3,11,,1,
4210,,3387,,9,1835,52,1,552,832,89,895,27,306,48,,,,,2,,3385,,,,8,,1,24,489,1322,,52,,,,1,,95,133,,324,258,562,12,,,89,,,399,496,17,,10,,,,51,232,,23,48,,,
4211,23,5147,,408,2946,367,752,2179,5082,815,2319,601,2510,647,17,1,4,1,,15,5132,,,,174,,234,47,1002,1897,,367,,,,752,,736,1127,,316,1797,2796,489,,,815,,2,1057,1260,41,6,431,123,,,337,794,1339,40,633,,14,
4212,1028,806,,1078,2914,241,687,877,2481,32,2873,94,1916,,254,554,210,10,2,92,712,,,,402,12,664,419,2308,187,76,55,110,,,687,,672,123,,82,679,1745,57,,,32,,77,2050,746,1,,93,,,,231,475,1201,9,,,,
4213,6,1506,,91,4517,30,3,352,1994,140,868,17,434,427,6,,,,61,3,1442,,,,16,,75,74,1161,3282,,30,,,,3,,162,148,,42,752,1162,80,,,140,,,438,430,11,,6,,,,138,166,130,,372,,55,
4214,5,1926,,519,1334,7,529,987,4678,89,3156,212,1790,17,4,,1,,,33,1893,,,,179,1,339,210,992,132,,7,,,,529,,510,280,,197,1573,3074,31,,2,87,,,2164,992,,,174,,38,,278,422,1070,20,17,,,
4215,115,127,,455,329,79,14690,933,2121,57,5423,1962,2185,4,21,61,32,1,,59,68,,,,159,22,274,2,326,1,78,,1,22,,14108,560,799,1,,133,1302,802,17,36,,21,,8,694,4721,17,21,1924,,,,564,1127,446,48,4,,,
4216,968,180,,2592,1277,235,4878,1099,1960,28,2782,463,3252,5,592,15,361,,,140,40,,,,1270,228,1094,36,1240,1,150,,85,,,4878,,629,317,,153,994,931,35,,,28,,27,1035,1720,1,1,461,,,,521,1124,1554,53,2,,3,
4217,1263,359,,557,1772,70,24172,259,819,,1349,19,444,1,448,519,258,38,,279,80,,,,319,88,150,326,1444,2,61,,9,,,24172,,246,,,13,218,599,2,,,,,187,369,793,,,19,,,,69,192,182,1,1,,,
4218,473,1144,,1371,1935,157,12898,280,973,,1902,12,423,,32,37,403,1,,1104,40,,,,887,331,153,145,1789,1,13,,144,,,12898,,263,,,17,257,716,,,,,,788,704,410,,,12,,,,52,298,73,,,,,
4220,86,1705,,842,778,121,6714,339,2480,1,1802,67,1466,,1,,85,,3,1289,413,,,,560,34,248,42,733,3,6,2,113,,,6714,,327,2,,10,793,1686,1,,,1,,482,675,645,,,67,,,,171,502,793,,,,,
4221,148,925,,668,949,,5251,288,2955,,1474,25,922,,,,148,,,544,381,,,,386,34,248,12,739,198,,,,,,5251,,236,,,52,949,1975,31,,,,,201,644,629,,,25,,,,299,483,137,3,,,,
4223,139,339,,362,1076,45,842,225,1789,18,563,55,625,108,1,2,136,,,158,181,,,,191,2,169,,448,628,45,,,,,842,,128,2,,95,578,1198,13,,,18,,38,349,176,11,,44,,,,149,317,153,6,108,,,
4224,25,30,,54,96,11,1392,156,761,,577,,298,,1,,24,,,17,13,,,,41,,13,,96,,9,,2,,,1392,,150,,,6,394,335,32,,,,,52,306,219,,,,,,,115,183,,,,,,
4225,43,1,,60,57,,5875,57,109,,211,,133,,,,43,,,1,,,,,31,,29,,55,2,,,,,,5875,,52,,,5,76,30,3,,,,,69,107,35,,,,,,,65,68,,,,,,
4226,75,970,,1278,1375,50,870,1512,2991,67,4038,,1466,5,39,20,2,14,,149,821,,,,883,77,318,106,1245,24,,11,39,1,,869,,1419,23,,70,956,2026,9,,,67,,130,1829,2079,,,,,,,377,821,268,,5,,,
4227,2,903,,67,1027,145,1385,986,2106,18,1929,170,554,,,2,,,164,44,695,,,,56,,11,276,633,118,,51,94,521,,615,249,784,112,,90,896,1200,10,,,18,,28,875,1026,,1,169,,,,185,342,24,3,,,,
4228,7,31,,5,1538,,,2,38,,10,,54,56,,7,,,,2,29,,,,4,,1,,337,1201,,,,,,,,2,,,,8,28,2,,,,,,10,,,,,,,,,4,50,,56,,,
4270,,3,,,1072,,,,9,,5,,,336,,,,,,,3,,,,,,,,42,1030,,,,,,,,,,,,1,6,2,,,,,,5,,,,,,,,,,,,336,,,
4272,,23,,744,595,,,86,1050,1,160,6,371,222,,,,,,,23,,,,60,,684,1,177,417,,,,,,,,54,2,,30,353,129,568,,,1,,,160,,,,6,,,,170,193,4,4,222,,,
4275,,9,,,335,,,20,244,1,60,,4,647,,,,,,,9,,,,,,,,22,313,,,,,,,,3,,,17,43,19,182,,,1,,,60,,,,,,,,1,2,,1,646,,1,
4280,,1712,,,2066,557,,591,303,73,81,9,17,2239,,,,,,,1712,,,,,,,,56,2010,,557,,,,,,36,502,,53,52,113,138,,,73,,,81,,7,,2,,,,2,15,,,2239,,,
4285,,1313,,119,748,,,763,1320,119,45,1327,616,2382,,,,,,,1313,,,,,,119,,32,716,,,,,,,,24,374,,365,82,107,1131,,,105,14,,28,17,782,,545,,,,10,92,90,424,2127,4,246,5
4287,,,,2,,,,,,,,3,3,320,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,199,,121,
4300,15,5506,,18,780,7248,,5209,1707,1583,1348,1885,414,2,,15,,,529,,4977,,,,7,,11,203,316,261,2,7227,19,,,,,569,4283,151,206,617,1065,25,,,1583,,10,998,340,402,656,478,,349,45,74,80,111,104,2,,,
4301,,129,,,13,445,6,8527,225,2760,557,662,204,5,,,,,,,129,,,,,,,,2,11,,445,,2,,4,,849,7221,4,453,62,158,5,,,2760,,15,52,490,302,54,306,,,,16,47,116,25,5,,,
4303,,2,,,1,,,376,13,248,42,878,113,3,,,,,,,2,,,,,,,,1,,,,,,,,,95,223,,58,8,3,2,,,248,,,2,40,418,7,18,,435,,1,9,26,77,3,,,
4304,,28,,4,68,,,1809,340,2346,279,2168,729,21,,,,,,,28,,,,4,,,,9,59,,,,,,,,196,1242,,371,197,107,36,,,2346,,,56,223,1229,74,790,,75,,43,182,157,347,21,,,
4305,,1161,,21,162,42,,8587,3406,5184,506,5521,2119,65,,,,,,3,1158,,,,,,21,5,67,90,,42,,,,,,481,6736,,1370,1210,1450,746,,,5168,16,,398,108,3992,21,1202,10,296,,289,463,767,600,65,,,
4306,,1477,,9,4085,2180,4,2220,2038,1445,626,114,212,3009,,,,,1,1,1475,,,,8,,1,55,287,3743,,2180,,,,4,,523,810,,887,447,906,685,,,1445,,,610,16,102,,12,,,,62,118,,32,2999,,10,
4307,,,,,,,,20,83,1,,51,3,476,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,81,,,1,,,,,51,,,,,,1,,,2,469,,7,
4309,,,,,,,,5,233,,,157,32,911,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,232,,,,,,,,157,,,,,,,,,32,827,,84,
4310,,,,14,8,,,169,326,,7,332,339,1374,,,,,,,,,,,1,,13,,1,7,,,,,,,,,,,169,17,,309,,,,,,7,,325,,7,,,,3,47,81,208,1223,,150,1
4311,,93,,,31,,,654,511,185,12,575,96,2540,,,,,,,93,,,,,,,,1,30,,,,,,,,1,475,,178,14,7,490,,,185,,,12,,569,1,3,,2,,6,14,,76,2335,,205,
4312,,,,3,,,,71,11,,4,46,60,1730,,,,,,,,,,,,,3,,,,,,,,,,,,,,71,2,,9,,,,,,4,,43,,3,,,,2,12,,46,846,,883,1
4313,,,,3,,,,11,7,2,,54,78,1008,,,,,,,,,,,,,3,,,,,,,,,,,,,,11,,1,6,,,,2,,,,50,,4,,,,,2,12,64,567,,429,12
4314,,,,3,,,,53,,17,,66,34,2005,,,,,,,,,,,,,3,,,,,,,,,,,,,,53,,,,,,,17,,,,30,,36,,,,,,,34,327,24,1395,259
